imdbID,Title,Year,Cast,Meter,Metacritic,AdjBoxOffice,LeadActor,Gender
tt1318514,Rise of the Planet of the Apes,2011,"Andy Serkis, Karin Konoval, Terry Notary, Richard Ridings",82,68,186900258,Andy Serkis,m
tt0458339,Captain America: The First Avenger,2011,"Chris Evans, Hayley Atwell, Sebastian Stan, Tommy Lee Jones",79,66,186794486,Chris Evans,m
tt0295701,xXx,2002,"Vin Diesel, Asia Argento, Marton Csokas, Samuel L. Jackson",48,48,186630898,Vin Diesel,m
tt1403865,True Grit,2010,"Jeff Bridges, Hailee Steinfeld, Matt Damon, Josh Brolin",96,80,186549945,Jeff Bridges,m
tt0830515,Quantum of Solace,2008,"Daniel Craig, Olga Kurylenko, Mathieu Amalric, Judi Dench",65,58,186121940,Daniel Craig,m
tt1409024,Men in Black 3,2012,"Will Smith, Tommy Lee Jones, Josh Brolin, Jemaine Clement",69,58,185479238,Will Smith,m
tt1190080,2012,2009,"John Cusack, Amanda Peet, Chiwetel Ejiofor, Thandie Newton",39,49,184169897,John Cusack,m
tt0304669,The Santa Clause 2,2002,"Tim Allen, Elizabeth Mitchell, David Krumholtz, Eric Lloyd",55,48,184117796,Tim Allen,m
tt0327084,Over the Hedge,2006,"Bruce Willis, Garry Shandling, Steve Carell, Wanda Sykes",75,67,182952420,Bruce Willis,m
tt1041829,The Proposal,2009,"Sandra Bullock, Ryan Reynolds, Mary Steenburgen, Craig T. Nelson",44,48,181730561,Sandra Bullock,f
tt0478970,Ant-Man,2015,"Paul Rudd, Michael Douglas, Evangeline Lilly, Corey Stoll",80,64,180893315,Paul Rudd,m
tt0242653,The Matrix Revolutions,2003,"Mary Alice, Tanveer K. Atwal, Helmut Bakaitis, Kate Beahan",36,47,179852520,Mary Alice,f
tt1454029,The Help,2011,"Emma Stone, Viola Davis, Bryce Dallas Howard, Octavia Spencer",76,62,179496173,Emma Stone,f
tt0308353,Happily N'Ever After,2006,"George Carlin, John DiMaggio, Andy Dick, Sarah Michelle Gellar",4,28,179293372,George Carlin,m
tt0349205,Cheaper by the Dozen,2003,"Steve Martin, Bonnie Hunt, Piper Perabo, Tom Welling",24,46,179076736,Steve Martin,m
tt0172156,Bad Boys II,2003,"Martin Lawrence, Will Smith, Jordi Mollà, Gabrielle Union",23,38,178947439,Martin Lawrence,m
tt1478338,Bridesmaids,2011,"Kristen Wiig, Terry Crews, Maya Rudolph, Tom Yi",90,75,178861537,Kristen Wiig,f
tt2224026,Home,2015,"Jim Parsons, Rihanna, Steve Martin, Jennifer Lopez",47,55,178082542,Jim Parsons,m
tt0800320,Clash of the Titans,2010,"Sam Worthington, Liam Neeson, Ralph Fiennes, Jason Flemyng",28,39,178040649,Sam Worthington,m
